run_id;road;trip_count;trip_profit;total_profit
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"3";"3.85";"45.17"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"3";"109";"331.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"3";"102.90";"311.65"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"3";"45.95";"137.85"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"3";"39.65";"153.44"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"3";"86.35";"291.78"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"4";"119.30";"514.05"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"1";"0";"25.43"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"1";"12.76";"12.76"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"4";"26.49";"211.55"
"run_1788715223527_seed123456789";"Region A · Hub 3 <-> Region A · Hub 4";"4";"90.56";"264.37"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region C · Hub 1";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 4";"4";"8.20";"53.23"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region D · Hub 1";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 3";"3";"0.35";"1.05"
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"4";"3.85";"49.02"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"4";"109";"440.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"4";"102.90";"414.55"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"4";"74.54";"212.39"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"4";"11.06";"164.50"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"4";"86.35";"378.13"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"5";"119.30";"633.35"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"2";"1.43";"26.85"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"1";"0";"12.76"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"5";"53.41";"264.96"
"run_1788715223527_seed123456789";"Region A · Hub 3 <-> Region A · Hub 4";"5";"174.96";"439.33"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region C · Hub 1";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 3";"1";"30.51";"30.51"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 4";"5";"8.20";"61.43"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region D · Hub 1";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 3";"4";"0.35";"1.40"
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"5";"3.85";"52.87"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"5";"109";"549.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"5";"102.90";"517.45"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"5";"155.36";"367.75"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"5";"27.56";"192.06"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"5";"86.35";"464.48"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"6";"119.30";"752.65"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"3";"524.25";"551.10"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"2";"21.88";"34.65"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"6";"58.50";"323.46"
"run_1788715223527_seed123456789";"Region A · Hub 3 <-> Region A · Hub 4";"6";"58.55";"497.88"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 4";"1";"151.61";"151.61"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region C · Hub 1";"0";"0";"0"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 4";"1";"245.06";"245.06"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 3";"1";"0";"30.51"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 4";"6";"8.20";"69.63"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region D · Hub 1";"1";"31.28";"31.28"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 3";"5";"0.35";"1.75"
